text,intent
"Remind me to call my sister tomorrow","reminder"
"Don't forget to pick up groceries","reminder"
"Set a reminder for the meeting at 3pm","reminder"
"Can you remind me about the dentist appointment","reminder"
"I need to remember to submit the report","reminder"
"Remind me to water the plants","reminder"
"Don't let me forget to charge my phone","reminder"
"Set an alarm for 6am tomorrow","reminder"
"Remember to call mom on her birthday","reminder"
"I should remind myself to take my medicine","reminder"
"Make a note to buy milk later","reminder"
"Remind me to reply to that email","reminder"
"I need a reminder for the gym at 5pm","reminder"
"Can you alert me before the deadline","reminder"
"Put a reminder for the rent due date","reminder"
"Don't forget the team standup tomorrow morning","reminder"
"Set a reminder to book flights next week","reminder"
"Remind me to check the oven in 20 minutes","reminder"
"I need to remember to pay the electricity bill","reminder"
"Can you remind me to return the library books","reminder"
"Wake me up at 7 tomorrow please","reminder"
"I should schedule a follow-up with the doctor","reminder"
"Note to self: bring umbrella tomorrow","reminder"
"Remind me to update my resume this weekend","reminder"
"Can you set a reminder for the parent-teacher meeting","reminder"
"Don't let me forget about Sarah's party on Saturday","reminder"
"I need to remember to renew my passport","reminder"
"Remind me to back up my files tonight","reminder"
"Set a reminder to feed the dog at 6pm","reminder"
"I should remind myself to stretch every hour","reminder"
"I've been feeling really down lately","emotional-support"
"I'm so stressed about everything right now","emotional-support"
"I just feel so overwhelmed","emotional-support"
"I'm having a rough day","emotional-support"
"I feel like nobody understands me","emotional-support"
"I'm really anxious about the future","emotional-support"
"I've been crying a lot recently","emotional-support"
"I miss my family so much","emotional-support"
"I feel so lonely sometimes","emotional-support"
"Everything feels so hard right now","emotional-support"
"I don't know how to cope with this","emotional-support"
"I'm really struggling with my mental health","emotional-support"
"I just need someone to talk to","emotional-support"
"I feel so lost and confused","emotional-support"
"I'm heartbroken about the breakup","emotional-support"
"I can't stop worrying about my job","emotional-support"
"I'm feeling really insecure about myself","emotional-support"
"It hurts so much to be rejected","emotional-support"
"I feel empty inside","emotional-support"
"I'm so tired of pretending to be okay","emotional-support"
"I just want to feel happy again","emotional-support"
"My anxiety is getting worse every day","emotional-support"
"I'm scared about what's going to happen","emotional-support"
"I feel like I'm failing at everything","emotional-support"
"I can't sleep because of all the stress","emotional-support"
"I feel so disconnected from everyone","emotional-support"
"I'm dealing with grief and it's so hard","emotional-support"
"I just feel so hopeless sometimes","emotional-support"
"I'm burning out from work pressure","emotional-support"
"I need some encouragement right now","emotional-support"
"I'm feeling really vulnerable today","emotional-support"
"I need to finish the report by Friday","action-item"
"Can you send the files to the client","action-item"
"We should schedule a meeting with the team","action-item"
"I have to complete the presentation slides","action-item"
"Let's book the conference room for tomorrow","action-item"
"I need to review the pull request","action-item"
"Can you update the project timeline","action-item"
"We have to fix the bug before the release","action-item"
"I should send the invoice to accounting","action-item"
"Let's plan the sprint for next week","action-item"
"I need to order new supplies for the office","action-item"
"Can you draft the proposal for the client","action-item"
"We need to migrate the database by Monday","action-item"
"I have to organize the files on the shared drive","action-item"
"Let's set up the testing environment","action-item"
"I should follow up with the vendor about pricing","action-item"
"Can you prepare the agenda for the standup","action-item"
"We need to deploy the new feature this week","action-item"
"I have to write the documentation for the API","action-item"
"Let's create the onboarding checklist for new hires","action-item"
"I need to submit the expense report","action-item"
"Can you coordinate with the design team","action-item"
"We should refactor the authentication module","action-item"
"I have to update the status in the tracker","action-item"
"Let's finalize the budget for Q3","action-item"
"I should clean up the test data","action-item"
"Can you merge the branches after review","action-item"
"We need to set up monitoring alerts","action-item"
"I have to cancel the old subscription","action-item"
"Let's assign tasks for the hackathon","action-item"
"How's the weather today","small-talk"
"Hey what's up","small-talk"
"Good morning! How are you","small-talk"
"Did you have a good weekend","small-talk"
"How's it going","small-talk"
"What did you do last night","small-talk"
"Nice to meet you","small-talk"
"Happy Friday everyone","small-talk"
"How was your lunch","small-talk"
"Any plans for the weekend","small-talk"
"That's so cool","small-talk"
"Haha that's funny","small-talk"
"Yeah I agree","small-talk"
"Thanks for letting me know","small-talk"
"No worries at all","small-talk"
"Have a great day","small-talk"
"Take care and see you later","small-talk"
"That sounds awesome","small-talk"
"Wow really? That's interesting","small-talk"
"I know right","small-talk"
"Same here honestly","small-talk"
"Oh nice! Good for you","small-talk"
"Lol that's hilarious","small-talk"
"Hey how have you been","small-talk"
"Long time no talk","small-talk"
"What's new with you","small-talk"
"Hope you're doing well","small-talk"
"Enjoy your evening","small-talk"
"That's great to hear","small-talk"
"Have a good one","small-talk"
"What is the capital of France","unknown"
"Can you solve this math equation","unknown"
"Tell me a joke about elephants","unknown"
"What's the meaning of life","unknown"
"How do I install Python on Windows","unknown"
"What are the latest news headlines","unknown"
"Explain quantum computing to me","unknown"
"What year was the Eiffel Tower built","unknown"
"Can you translate this to Spanish","unknown"
"Who won the World Cup in 2022","unknown"
"What's the recipe for chocolate cake","unknown"
"How far is the moon from Earth","unknown"
"What programming language should I learn first","unknown"
"Can you write a poem about the ocean","unknown"
"What is the GDP of Japan","unknown"
"How does photosynthesis work","unknown"
"Tell me about the Roman Empire","unknown"
"What's the difference between HTTP and HTTPS","unknown"
"Can you summarize this article for me","unknown"
"What are the symptoms of the flu","unknown"
"How to tie a Windsor knot","unknown"
"What is machine learning","unknown"
"Can you explain blockchain technology","unknown"
"Who painted the Mona Lisa","unknown"
"What are the best hiking trails in Colorado","unknown"
"How many countries are in Africa","unknown"
"What is the boiling point of water","unknown"
"Can you recommend a good book","unknown"
"What time zone is Tokyo in","unknown"
"How do solar panels work","unknown"
